本词	国际音标	方言拼音	汉语拼音	词汇属性	对应官话词	官话拼音	词频	同义词	新旧标记
煮肉饼	tsʰuon1 ȵiuʔ5 piɑŋ3	cuon1 niuk5 biang3	zhu3 rou4 bing3	官			127684		
煮花生	sæp6 fa1 son1	saep6 fa1 son1	zhu3 hua1 sheng1	官			126700		
煮饭	hon4 fan1	hon4 fan1	zhu3 fan4	官			123613		
爹爹	ia2 ia2	ya2 ya2	die1 die1	官			124539		
猪血块	tsy1 uoŋ4 tsi3	zyu1 wong4 zi3	zhu1 xue4 kuai4	官			126304		
甩鼻涕	sɑŋ4 pʰɨʔ6 ȵiŋ2	sang4 pek6 ning2	shuai3 bi2 ti4	官			122818		
瘦肉	tɕiɑŋ1 ȵiuʔ5	jiang1 niuk5	shou4 rou4	官			124031		
盖住菜	kon3 tɑu4 tsʰɛi4	gon3 dau4 cei4	gai4 zhu4 cai4	官			124704		
盖好	kon3 hɑu3	gon3 hau3	gai4 hao3	官			122410		
看守小孩	iɑŋ4 ɕi4 ȵin2 tsi3	yang4 xi4 nin2 zi3	kan1 shou3 xiao3 hai2	官			124838		
看守牛	iɑŋ4 ȵiɛu2	yang4 nieu2	kan1 shou3 niu2	官			127813		
看着	tsi1 tɑu4	zi1 dau4	kan4 zhe5	官			126797		
看贼	iɑŋ4 tsʰɛʔ6	yang4 cek6	kan4 zei2	官			124877		
窗户	kʰan3 tsi3	kan3 zi3	chuang1 hu4	官			127591		
站着	tɕʰi4 tɑu4	qi4 dau4	zhan4 zhe5	官			125001		
站起来	tɕʰi4 tɕʰi3 lɛi2	qi4 qi3 lei2	zhan4 qi3 lai2	官			126778		
筷子	tsu3 kʰuai4	zu3 kuai4	kuai4 zi5	官			125622		
筷子筒	tsu3 tʰuŋ2	zu3 tung2	kuai4 zi5 tong3	官			122625		
粽叶	tsuŋ4 iɔʔ5	zung4 yok5	zong4 ye4	官			124050		
老爹	lɑu3 ia2	lau3 ya2	lao3 die1	官			126391		
舅妈	mu3 tɕʰin4	mu3 qin4	jiu4 ma1	官			124944		
舔碗筷	siɛ4 uɛn3 kʰuai4	sie4 wen3 kuai4	tian3 wan3 kuai4	官			125065		
藏好	tɕiɛ3 hɑu3	jie3 hau3	cang2 hao3	官			123050		
藏好	kʰoŋ4 hɑu3	kong4 hau3	cang2 hao3	官			123050		
藏着	kʰoŋ4 tɑu4	kong4 dau4	cang2 zhe5	官			125577		
藏起来	tɕiɛ3 tɕʰi3 lɛi2	jie3 qi3 lei2	cang2 qi3 lai2	官			122042		
藏起来	kʰoŋ4 tɕʰi3 lɛi2	kong4 qi3 lei2	cang2 qi3 lai2	官			122042		
蚊虫	min2 tsʰuŋ2	min2 cung2	wen2 chong2	官			127863		
袭击人	tsoʔ5 ȵin2	zok5 nin2	xi2 ji1 ren2	官			122733		
裂口	tɕin1 kʰiɛu3	jin1 kieu3	lie4 kou3	官			127817		
踩泥巴	tsʰa2 ȵi2 pa1	ca2 ni2 ba1	cai3 ni2 ba1	官			122382		
踹他一脚	tsʰa2 tɕiɛ1 it5 tɕiɔʔ5	ca2 jie1 yit5 jiok5	chuai4 ta1 yi1 jiao3	官			127363		
躺到	kʰuin4 tɑu4	kuin4 dau4	tang3 dao4	官			124825		
轻点手指	tu1 tsi3 tʰɛu2	du1 zi3 teu2	qing1 dian3 shou3 zhi3	官			123926		
这件衣服	kɛi1 tɕʰiɛn4 i1 soŋ2	gei1 qien4 yi1 song2	zhe4 jian4 yi1 fu2	官			124527		
锄头	tɕiɔʔ5 tʰɛu2	jiok5 teu2	chu2 tou5	官			127151		
饮茶	tsʰuɛt5 tsʰa2	cuet5 ca2	yin3 cha2	官			123448		
饮酒	tɕʰiaʔ5 tɕiəu3	qiak5 jieu3	yin3 jiu3	官			123915		
鼻塞	tsuʔ5 pʰɨʔ6 tsi3	zuk5 pek6 zi3	bi2 se4	官			127042		
