本词	国际音标	方言拼音	汉语拼音	词汇属性	对应官话词	官话拼音	词频	同义词	新旧标记
莫愁	mɔʔ6 tsʰɛu2	mok6 ceu2	mo4 chou2	赣	别愁	bie2 chou2	123301		
莫戄	mɔʔ6 foʔ5	mok6 fok5	mo4 jue2	赣	别怕/别慌/别急	bie2 pa4/bie2 huang1/bie2 ji2	125080		
莫挨	mɔʔ6 ŋai1	mok6 ngai1	mo4 ai1	赣			125030		
莫话	mɔʔ6 fa1	mok6 fa1	mo4 hua4	赣	别说	bie2 shuo1	123160		
莫賸	mɔʔ6 in4	mok6 yin4	mo4 sheng4	赣	别剩	bie2 sheng4	122745		
莫跍到	mɔʔ6 kʰu2 tɑu4	mok6 ku2 dau4	mo4 ku1 dao4	赣	别蹲着	bie2 dun1 zhe5	126966		
蟁虫	min2 tsʰuŋ2	min2 cung2	wen2 chong2	赣	蚊虫	wen2 chong2	124254		
賸几多	in4 tɕi3 to1	yin4 ji3 do1	sheng4 ji3 duo1	赣	剩多少	sheng4 duo1 shao3	122143		
賸出来个	in4 tsʰyʔ5 lɛi2 ko4	yin4 cyuk5 lei2 go4	sheng4 chu1 lai2 ge4	赣	多出来的	duo1 chu1 lai2 de5	122877		
賸菜	in4 tsʰɛi4	yin4 cei4	sheng4 cai4	赣	剩菜	sheng4 cai4	122879		
镢头	tɕiɔʔ5 tʰɛu2	jiok5 teu2	jue2 tou2	赣	锄头	chu2 tou5	122865		
驮打	tʰo2 ta3	to2 da3	tuo2 da3	赣	挨打	ai2 da3	123594		
驮骂	tʰo2 ma4	to2 ma4	tuo2 ma4	赣	挨骂	ai2 ma4	123834		
𢴒出去	pʰɑŋ1 tsʰyʔ5 tɕʰiɛ4	pang1 cyuk5 qie4	𢴒5 chu1 qu4	赣			122482		
𢴒鸡	pʰɑŋ1 tɕi1	pang1 ji1	𢴒5 ji1	赣			127927		
𢴒鸭	pʰɑŋ1 ŋæt5	pang1 ngaet5	𢴒5 ya1	赣			126767		
𫍧落	lai2 lɔʔ6	lai2 lok6	𫍧5 luo4	赣	忘掉	wang4 diao4	122465		
𫍧记	lai2 tɕi4	lai2 ji4	𫍧5 ji4	赣	忘记	wang4 ji4	123602		
