本词	国际音标	方言拼音	汉语拼音	词汇属性	对应官话词	官话拼音	词频	同义词	新旧标记
侄	tsʰɨʔ6	cek6	zhi2	赣			145000		
侄	tsʰit6	cit6	zhi2	赣			145000		
侈	tsʰa3	ca3	chi3	赣			102544		
侈	tsʰi3	ci3	chi3	赣			102544		
例	li4	li4	li4	赣			150000		
侍	si4	si4	shi4	赣			120000		
供	kuŋ1	gung1	gong1	赣			205000		
供	kuŋ4	gung4	gong1	赣			205000		
供	tɕiuŋ1	jiung1	gong1	赣			205000		
供	tɕʰiuŋ4	qiung4	gong1	赣			205000		
依	i1	yi1	yi1	赣			145000		
侠	hap6	hap6	xia2	赣			106969		
侣	li3	li3	lv3	赣			109586		
侥	tɕiɛu3	jieu3	jiao3	赣			60000		
侥	ŋiɛu3	ngieu3	jiao3	赣			60000		
侦	tsən1	zen1	zhen1	赣			120000		
侦	tsiŋ1	zing1	zhen1	赣			120000		
侧	tsʰɛʔ5	cek5	ce4	赣			300000		
侧	tsʰiɛʔ5	ciek5	ce4	赣			300000		
侧	tsɛʔ5	zek5	ce4	赣			300000		
侨	tɕʰiau2	qiau2	qiao2	赣			120000		
侨	tɕʰiɛu2	qieu2	qiao2	赣			120000		
侮	fɛi3	fei3	wu3	赣			107043		
侯	hɛu2	heu2	hou2	赣			120000		
侵	tɕʰin1	qin1	qin1	赣			145000		
便	piɛn4	bien4	bian4	赣			120000		
便	pʰiɛn2	pien2	bian4	赣			120000		
便	pʰiɛn4	pien4	bian4	赣			120000		
促	tsʰuʔ5	cuk5	cu4	赣			120000		
俄	ŋo2	ngo2	e2	赣			120000		
俊	tɕin4	jin4	jun4	赣			120000		
俊	tɕuɛn4	jun4	jun4	赣			120000		
俏	tɕʰiau4	qiau4	qiao4	赣			120000		
俏	tɕʰiɛu4	qieu4	qiao4	赣			120000		
俐	li1	li1	li4	赣			104813		
俗	suʔ6	suk6	su2	赣			155000		
俗	ɕiuʔ6	xiuk6	su2	赣			155000		
俘	fuʔ6	fuk6	fu2	赣			102061		
保	pɑu3	bau3	bao3	赣			145000		
俞	i1	yi1	yu2	赣			90000		
信	ɕin4	xin4	xin4	赣			220000		
俩	lioŋ3	liong3	lia3	赣			102209		
俭	kan3	gan3	jian3	赣			120000		
俭	tɕiɛn3	jien3	jian3	赣			120000		
修	ɕiəu1	xieu1	xiu1	赣			310000		
修	ɕiu1	xiu1	xiu1	赣			310000		
俯	fu3	fu3	fu3	赣			100625		
俱	tɕi4	ji4	ju4	赣			103728		
俱	tɕu4	ju4	ju4	赣			103728		
俺	ŋiɛn1	ngien1	an3	赣			106018		
倍	pʰɛi4	pei4	bei4	赣			145000		
倒	tɑu3	dau3	dao4	赣			195000		
倒	tɑu4	dau4	dao4	赣			195000		
倔	tɕuɛt5	juet5	jue2	赣			108890		
倔	tɕut5	jut5	jue2	赣			108890		
倘	tʰoŋ3	tong3	tang3	赣			125000		
候	həu4	heu4	hou4	赣			170000		
倚	ȵi2	ni2	yi3	赣			120000		
倚	i2	yi2	yi3	赣			120000		
借	tɕia4	jia4	jie4	赣			150000		
倡	tsʰoŋ4	cong4	chang4	赣			120000		
倦	tɕyon4	jyuon4	juan4	赣			145000		
倪	ȵi2	ni2	ni2	赣			73943		
债	tsʰɛi4	cei4	zhai4	赣			125000		
债	tsai4	zai4	zhai4	赣			125000		
值	tsʰɨʔ6	cek6	zhi2	赣			370000		
值	tsʰiʔ6	cik6	zhi2	赣			370000		
倾	tɕʰiɑŋ1	qiang1	qing1	赣			175000		
倾	tɕʰiŋ1	qing1	qing1	赣			175000		
假	ka3	ga3	jia3	赣			115000		
偏	pʰiɛn1	pien1	pian1	赣			120000		
做	tsu4	zu4	zuo4	赣			428314		
停	tʰən2	ten2	ting2	赣			170000		
停	tʰiŋ2	ting2	ting2	赣			170000		
健	tɕiɛn4	jien4	jian4	赣			120000		
健	tɕʰiɛn4	qien4	jian4	赣			120000		
偶	ŋəu3	ngeu3	ou3	赣			120000		
偶	ŋiɛu3	ngieu3	ou3	赣			120000		
偶	ȵiau3	niau3	ou3	赣			120000		
偷	tʰɛu1	teu1	tou1	赣			120000		
偿	tsʰoŋ2	cong2	chang2	赣			136769		
偿	soŋ3	song3	chang2	赣			136769		
傅	fu4	fu4	fu4	赣			120000		
傍	pʰoŋ2	pong2	bang4	赣			103993		
储	tsʰuʔ5	cuk5	chu3	赣			220000		
催	tsʰɛi1	cei1	cui1	赣			145000		
傲	ŋɑu1	ngau1	ao4	赣			120000		
傻	sa3	sa3	sha3	赣			120000		
傻	siɛn2	sien2	sha3	赣			120000		
像	tɕʰioŋ4	qiong4	xiang4	赣			370000		
像	ɕioŋ4	xiong4	xiang4	赣			370000		
僚	liau2	liau2	liao2	赣			109813		
僧	sɛn1	sen1	seng1	赣			120000		
僵	koŋ1	gong1	jiang1	赣			120000		
僵	tɕioŋ1	jiong1	jiang1	赣			120000		
僻	pʰiʔ6	pik6	pi4	赣			220000		
儆	tɕʰiaŋ4	qiang4	jing3	赣	忌/戒备/警戒	ji4/jie4 bei4/jing3 jie4	125195		
儡	lui3	lui3	lei3	赣			76977		
儿	ȵin2	nin2	er2	赣			160000		
儿	ɵ2	o2	er2	赣			160000		
允	in3	yin3	yun3	赣			120000		
允	yn3	yun3	yun3	赣			120000		
元	ȵyon2	nyuon2	yuan2	赣			370000		
兄	ɕiaŋ1	xiang1	xiong1	赣			170000		
充	tsʰuŋ1	cung1	chong1	赣			120000		
兆	tsʰɛu4	ceu4	zhao4	赣			120000		
兆	tsiɛu1	zieu1	zhao4	赣			120000		
先	ɕiɛn1	xien1	xian1	赣			370000		
光	kuoŋ1	guong1	guang1	赣			234690		
克	kʰaʔ5	kak5	ke4	赣			145000		
克	kʰiɛʔ5	kiek5	ke4	赣			145000		
克	kʰoʔ5	kok5	ke4	赣			145000		
免	miɛn3	mien3	mian3	赣			120000		
兑	tɛi4	dei4	dui4	赣			120000		
兔	tʰu4	tu4	tu4	赣			120000		
党	toŋ3	dong3	dang3	赣			120000		
兜	tɛu1	deu1	dou1	赣			130000		
入	lɨʔ5	lek5	ru4	赣			350000		
入	ȵip5	nip5	ru4	赣			350000		
全	tɕʰyon2	qyuon2	quan2	赣			370000		
