本词	国际音标	方言拼音	汉语拼音	词汇属性	对应官话词	官话拼音	词频	同义词	新旧标记
佢	tɕie3	jie3	qu2	赣	它	ta1	555604		
话	ua6	wa5	hua4	白	说	shuo1	410000		
直	tsʰət7	cet6	zhi2	赣			190000		老1
直	tsʰɨt8	cet7	zhi2	赣			190000		老2
值	tsʰɨt8	cet7	zhi2	赣			350000		老2
尧	iɛu5	yeu4	yao2	赣			155000		新1
翼	iɛt8	yet7	yi4	白			126072		
胛		gangk6	jia3	赣			100000		
飞		fei1	fei1	赣			150000		
括	kʰuot7	kuot6	kuo4	赣			105000		新1
暗	ŋæn5	ngan4	an4	赣			125000		
在	cei6	cei5	zai4	赣			350000		又1
了	le0	le0	le5	赣			350000		新1
实	sɛt7	set6	shi2	赣			330000		老1
实	ɕiʔ7	xik6	shi2	赣			330000		
怕	pa0	ba0	pa4	赣			235000		
着	tsʰɔʔ8	cok7	zhe5	赣			350000		
冎	kuaʔ7	guak6	gua3	赣			100000		
枼	se1	se1	ye4	赣			100000		
啷	lɔːŋ1	long1	lang1	赣	怎/怎么	zen3/zen3 me0	550000		又1
喫	tɕʰiaʔ7	qiak6	chi1	赣	吃/喝	chi1/he1	415203		
除	tsʰu2	cu2	chu2	赣			270000		新1
容	luŋ5	lung4	rong2	赣			130000		新1
日		niak7	ri4	赣			350000		
共	kʰuŋ6	kung5	gong4	文			135000		
尤	ɕiu5	xiu4	you2	赣			125000		
猪	tɕy1	jyu1	zhu1	赣			300000		老1
主	tɕy3	jyu3	zhu3	赣			385602		老1
处	tɕʰy3	qyu3	chu4	赣			350000		老1
住	tɕʰy6	qyu5	zhu4	赣			225000		老1
书	ɕy1	xyu1	shu1	赣			330000		老1
输	ɕy1	xyu1	shu1	赣			180000		老1
树	ɕy6	xyu5	shu4	赣			155000		老1
除	tɕʰy2	qyu2	chu2	赣			270000		老1
朱	tɕy1	jyu1	zhu1	赣			150000		老1
珠	tɕy1	jyu1	zhu1	赣			125000		老1
世	sɿ5	si4	shi4	赣			100000		本1
静	tɕʰin0	qin0	jing4	赣			100000		
糁	son0	son0	san3	赣			100000		
子	tsɿ0	zi0	zi5	赣			350000		
勒	lɛt0	let0	lei1	赣			175000		
骨	kut0	gut0	gu3	赣			181400		
毛	mau0	mau0	mao2	赣			200000		
时	sɿ0	si0	shi2	赣			270000		
鼓	ku0	gu0	gu3	赣			100000		
力	lit0	lit0	li4	赣			105000		
水	sui0	sui0	shui3	赣			200000		
萨	sat0	sat0	sa4	赣			105000		
量	liɔŋ0	liong0	liang4	赣			270000		
贵	kui0	gui0	gui4	赣			105000		
狗	kiɛu0	gieu0	gou3	赣			105000		
腐	fu0	fu0	fu3	赣			100000		
注	tsu5	zu4	zhu4	赣			150000		新1
得	tɛt0	det0	de2	赣	给	gei3	350000		
侏	tsu1	zu1	zhu1	赣			200000		新1
诛	tsu1	zu1	zhu1	赣			125000		新1
瞿	tɕʰy2	qyu2	qu2	赣			150000		新1
蛛	tsu1	zu1	zhu1	赣			100000		新1
诸	tsu1	zu1	zhu1	赣			125000		新1
伫	tsʰu6	cu5	zhu4	赣			175000		新1
柱	tsʰu6	cu5	zhu4	赣			105000		新1
煮	tsu3	zu3	zhu3	赣			150000		新1
株	tsu1	zu1	zhu1	赣			100000		新1
蛀	tsʰu6	cu5	zhu4	赣			125000		新1
竺	tsuʔ7	zuk6	zhu2	赣			130000		
褚	tsʰu3	cu3	chu3	赣			100000		新1
潴	tsu1	zu1	zhu1	赣			125000		新1
驻	tsʰu6	cu5	zhu4	赣			100000		新1
刍	tsʰu2	cu2	chu2	赣			100000		新1
厨	tsʰu2	cu2	chu2	赣			100000		新1
贮	tsu6	zu5	zhu4	赣			100000		新1
矗	tsʰu6	cu5	chu4	赣			100000		新1
署	su3	su3	shu3	赣			100000		新1
竖	su6	su5	shu4	赣			100000		新1
铸	tsʰu6	cu5	zhu4	赣			125000		新1
语	y3	yu3	yu3	赣			350000		新1
严	iɛn5	yen4	yan2	赣			150000		新1
言	iɛn5	yen4	yan2	赣			125000		新1
研	iɛn5	yen4	yan2	赣			256796		新1
妍	yen2	yen2	yan2	赣			100000		新1
验	iɛn6	yen5	yan4	赣			125000		新1
择	tsɛt7	zet6	ze2	赣			125000		新1
释	sɿʔ7	sik6	shi4	赣			150000		新1
术	suʔ7	suk6	shu4	赣			105000		新1
式	sɿʔ7	sik6	shi4	赣			265000		新1
食	sɿʔ7	sik6	shi2	赣			100000		新1
湿	sɿʔ7	sik6	shi1	赣			125000		新1
饰	sɿʔ7	sik6	shi4	赣			125000		新1
失	sɿʔ7	sik6	shi1	赣			105000		新2
适	sɿʔ7	sik6	shi4	赣			100000		新1
室	sɿʔ7	sik6	shi4	赣			100000		新1
识	sɿʔ7	sik6	shi2	赣			100000		新1
拾	sɿʔ7	sik6	shi2	赣			100000		新1
蚀	sɿʔ7	sik6	shi2	赣			100000		新1
喇	la0	la0	la3	赣			125000		
西	ɕi0	xi0	xi1	赣			100000		
踉	laŋ1	lang1	liang2	赣			100000		
且	tɕʰiᴇ3	qie3	qie3	赣			350000		新1
肺	fɨi5	fei4	fei4	赣			100000		
嫦	tsʰɔŋ2	cong2	chang2	赣			100000		新1
袖	ɕiu6	xiu5	xiu4	文			100000		新1
饶	lɛu5	leu4	rao2	赣			185000		
石	sɿʔ7	sik6	shi2	赣			175000		新1
质	tsɿʔ7	zik6	zhi4	赣			150000		新1
议	i6	yi5	yi4	赣			100000		新1
仪	i5	yi4	yi2	赣			100000		新1
义	i6	yi5	yi4	赣			175000		新1
入	luʔ7	luk6	ru4	赣			350000		又1
社	sa6	sa5	she4	赣			100000		
业	ȵiɛt7	niet6	ye4	赣			133000		老1
十	ɕit8	xit7	shi2	白			176000		
席	ɕit7	xit6	xi2	文			100000		
怕	pat7	ba6	pa4	赣			235000		
乾	tɕʰiɛn2	qien2	qian2	赣			100000		
㰵	tsuʔ7	zuk6	zu2	赣			110000	塞/崴	
吱	tɕit7	jit6	zhi1	赣			100000		
漆	tɕʰit0	qit0	qi1	赣			100000		
风	fuŋ0	fung0	feng1	赣			135000		
