本词	国际音标	方言拼音	汉语拼音	词汇属性	对应官话词	官话拼音	词频	同义词	新旧标记
俑	tʰuŋ1	tung1	yong3	赣			106437		
俗	ɕiuʔ7	xiuk6	su2	赣			155000		老1
俘	fu1	fu1	fu2	赣			102061		
俚	li3	li3	li3	赣			73581		
俜	pʰin1	pin1	ping1	赣			105942		
保	pau3	bau3	bao3	赣			145000		
俟	sɿ6	si5	qi2	赣			102308		
信	ɕin5	xin4	xin4	赣			220000		
俦	tʰau6	tau5	chou2	赣			108315		
俨	ȵien3	nien3	yan3	赣			107926		
俩	liɔŋ3	liong3	lia3	赣			102209		
俪	li6	li5	li4	赣			79063		
俭	tɕʰiɛn6	qien5	jian3	赣			120000		
修	ɕiu1	xiu1	xiu1	赣			310000		
俯	fu3	fu3	fu3	赣			100625		
俱	tɕy1	jyu1	ju4	赣			103728		
俳	pʰai2	pai2	pai2	赣			108721		
俵	pieu3	bieu3	biao4	赣			106242		
俶	tsʰuʔ7	cuk6	chu4	赣			106063		
俸	puŋ3	bung3	feng4	赣			107966		
俺	ŋon3	ngon3	an3	赣			106018		
俾	pi3	bi3	bi3	赣			105255		
倍	pʰi5	pi4	bei4	赣			145000		
倏	suʔ7	suk6	shu1	赣			102720		
倒	tau3	dau3	dao4	赣			195000		
倒	tau5	dau4	dao4	赣			195000		
倓	tʰan2	tan2	tan2	赣			100002		
倔	tɕʰyt8	qyut7	jue2	赣			108890		
倘	tʰɔŋ3	tong3	tang3	赣			125000		
候	hɛu6	heu5	hou4	赣			170000		
倚	i3	yi3	yi3	赣			120000		
倜	tʰit7	tit6	ti4	赣			101602		
倞	tɕʰin6	qin5	jing4	赣			16645		
借	tɕia5	jia4	jie4	文			150000		
借	tɕʰiᴀ6	qia5	jie4	白			150000		
倡	tsʰɔŋ3	cong3	chang4	赣			120000		
倥	kʰuŋ1	kung1	kong1	赣			105346		
倦	tɕʰyon6	qyuon5	juan4	赣			145000		
倨	tɕy5	jyu4	ju4	赣			71366		
倪	ȵi5	ni4	ni2	赣			73943		
倬	tsɔʔ7	zok6	zhuo1	赣			105123		
值	tsɿʔ7	zik6	zhi2	赣			370000		新1
偃	ien3	yen3	yan3	赣			71126		
偎	ui1	wui1	wei1	赣			109954		
偏	pʰiɛn1	pien1	pian1	赣			120000		
偕	hai2	hai2	xie2	赣			90000		
做	tsu5	zu4	zuo4	赣			428314	舞	
停	tʰin2	tin2	ting2	赣			170000		
健	tɕʰiɛn6	qien5	jian4	赣			120000		
偬	tsuŋ3	zung3	zong3	赣			105417		
偲	sɿ1	si1	cai1	赣			15868		
偶	ŋiɛu3	ngieu3	ou3	赣			120000		
偷	tʰɛu1	teu1	tou1	赣			120000		
偻	li3	li3	lou2	赣			78438		
偾	fɨn5	fen4	fen4	赣			109244		
偿	sɔŋ5	song4	chang2	赣			136769		老1
傀	kui1	gui1	gui1	赣			71608		
傅	fu5	fu4	fu4	赣			120000		
傍	pʰɔŋ6	pong5	bang4	赣			103993		
傥	tɔŋ3	dong3	tang3	赣			102930		
傧	pin1	bin1	bin1	赣			120000		
储	tɕʰy2	qyu2	chu3	赣			220000		新1
储	tsʰu2	cu2	chu3	赣			220000		老1
傩	lo5	lo4	nuo2	赣			102635		
催	tsʰui1	cui1	cui1	赣			145000		
傲	ŋau6	ngau5	ao4	赣			120000		
傻	sa3	sa3	sha3	官			120000		
僇	liu6	liu5	lu4	赣			18614		
像	tɕʰiɔŋ6	qiong5	xiang4	赣			370000		
像	ɕiɔŋ5	xiong4	xiang4	赣			370000		
僖	ɕi1	xi1	xi1	赣			100202		
僚	lieu3	lieu3	liao2	赣			109813		
僦	tɕiu5	jiu4	jiu4	赣			105274		
僧	sɛn1	sen1	seng1	赣			120000		
僬	tɕieu1	jieu1	jiao1	赣			104209		
僭	tɕien5	jien4	jian4	赣			107590		
僮	tʰuŋ2	tung2	tong2	赣			90000		
僵	tɕiɔŋ1	jiong1	jiang1	赣			120000		
僻	pʰit7	pit6	pi4	赣			220000		
儆	tɕin3	jin3	jing3	赣			70675		
儇	ɕyon1	xyuon1	xuan1	赣			100332		
儋	tan1	dan1	dan1	赣			104073		
儡	lui3	lui3	lei3	赣			76977		老1
儿	ɵ5	o4	er2	赣			160000		
允	yn3	yun3	yun3	赣			120000		
允	in3	yin3	yun3	赣			120000		
元	ȵyon5	nyuon4	yuan2	赣			370000		老1
元	yon5	yuon4	yuan2	赣			370000		新1
充	tsʰuŋ1	cung1	chong1	赣			120000		
兆	tsʰɛu6	ceu5	zhao4	赣			120000		
先	ɕiɛn1	xien1	xian1	赣			370000		
克	kʰiɛt7	kiet6	ke4	赣			145000		
免	miɛn3	mien3	mian3	赣			120000		
兑	tʰui6	tui5	dui4	赣			120000		
兔	tʰu3	tu3	tu4	赣			120000		
兖	yon3	yuon3	yan3	赣			75659		
党	tɔŋ3	dong3	dang3	赣			120000		
兜	tɛu1	deu1	dou1	赣			130000		
兢	tɕin1	jin1	jing1	赣			109414		
全	tɕʰyon2	qyuon2	quan2	赣			370000		
八	pat7	bat6	ba1	赣			160000		
公	kuŋ1	gung1	gong1	赣			290000		
六	liuʔ7	liuk6	liu4	赣			230000		
兮	ɕi1	xi1	xi1	赣			90000		
兰	lan5	lan4	lan2	赣			120001		
关	kuan1	guan1	guan1	赣			180000		
兴	ɕin1	xin1	xing1	赣			145000		
兴	ɕin5	xin4	xing1	赣			145000		
具	tɕʰy6	qyu5	ju4	赣			145000		老1
