本词	国际音标	方言拼音	汉语拼音	词汇属性	对应官话词	官话拼音	词频	同义词	新旧标记
一个十三四岁		yi go set san su xi	yi2 ge4 shi2 san1 si4 sui4	赣			11		
一个十三四岁		yi go si san su xi	yi2 ge4 shi2 san1 si4 sui4	赣			11		
一个十三四岁		yi go xi san su xi	yi2 ge4 shi2 san1 si4 sui4	赣			11		
一个十二		yi go set e	yi2 ge4 shi2 er4	赣			22		
一个十二		yi go si e	yi2 ge4 shi2 er4	赣			22		
一个十二		yi go xi e	yi2 ge4 shi2 er4	赣			22		
一个十二三岁		yi go set e san xi	yi2 ge4 shi2 er4 san1 sui4	赣			9		
一个十二三岁		yi go si e san xi	yi2 ge4 shi2 er4 san1 sui4	赣			9		
一个十二三岁		yi go xi e san xi	yi2 ge4 shi2 er4 san1 sui4	赣			9		
一个十五六岁		yi go set ng liu xi	yi2 ge4 shi2 wu3 liu4 sui4	赣			9		
一个十五六岁		yi go si ng liu xi	yi2 ge4 shi2 wu3 liu4 sui4	赣			9		
一个十五六岁		yi go xi ng liu xi	yi2 ge4 shi2 wu3 liu4 sui4	赣			9		
一个十五岁		yi go set ng xi	yi2 ge4 shi2 wu3 sui4	赣			8		
一个十五岁		yi go si ng xi	yi2 ge4 shi2 wu3 sui4	赣			8		
一个十五岁		yi go xi ng xi	yi2 ge4 shi2 wu3 sui4	赣			8		
一个十八九岁		yi go set ba jiu xi	yi2 ge4 shi2 ba1 jiu3 sui4	赣			7		
一个十八九岁		yi go set bai jiu xi	yi2 ge4 shi2 ba1 jiu3 sui4	赣			7		
一个十八九岁		yi go si ba jiu xi	yi2 ge4 shi2 ba1 jiu3 sui4	赣			7		
一个十八九岁		yi go si bai jiu xi	yi2 ge4 shi2 ba1 jiu3 sui4	赣			7		
一个十八九岁		yi go xi ba jiu xi	yi2 ge4 shi2 ba1 jiu3 sui4	赣			7		
一个十八九岁		yi go xi bai jiu xi	yi2 ge4 shi2 ba1 jiu3 sui4	赣			7		
一个十八岁		yi go set ba xi	yi2 ge4 shi2 ba1 sui4	赣			11		
一个十八岁		yi go set bai xi	yi2 ge4 shi2 ba1 sui4	赣			11		
一个十八岁		yi go si ba xi	yi2 ge4 shi2 ba1 sui4	赣			11		
一个十八岁		yi go si bai xi	yi2 ge4 shi2 ba1 sui4	赣			11		
一个十八岁		yi go xi ba xi	yi2 ge4 shi2 ba1 sui4	赣			11		
一个十八岁		yi go xi bai xi	yi2 ge4 shi2 ba1 sui4	赣			11		
一个十六七岁		yi go set liu qi xi	yi2 ge4 shi2 liu4 qi1 sui4	赣			12		
一个十六七岁		yi go si liu qi xi	yi2 ge4 shi2 liu4 qi1 sui4	赣			12		
一个十六七岁		yi go xi liu qi xi	yi2 ge4 shi2 liu4 qi1 sui4	赣			12		
一个十几岁		yi go set ji xi	yi2 ge4 shi2 ji3 sui4	赣			14		
一个十几岁		yi go si ji xi	yi2 ge4 shi2 ji3 sui4	赣			14		
一个十几岁		yi go xi ji xi	yi2 ge4 shi2 ji3 sui4	赣			14		
一个十四五岁		yi go set su ng xi	yi2 ge4 shi2 si4 wu3 sui4	赣			9		
一个十四五岁		yi go si su ng xi	yi2 ge4 shi2 si4 wu3 sui4	赣			9		
一个十四五岁		yi go xi su ng xi	yi2 ge4 shi2 si4 wu3 sui4	赣			9		
一个十岁		yi go set xi	yi2 ge4 shi2 sui4	赣			10		
一个十岁		yi go si xi	yi2 ge4 shi2 sui4	赣			10		
一个十岁		yi go xi xi	yi2 ge4 shi2 sui4	赣			10		
一个千		yi go qien	yi2 ge4 qian1	赣			15		
一个半		yi go bon	yi2 ge4 ban4	赣			148		
一个半月		yi go bon nyue	yi2 ge4 ban4 yue4	赣			52		
一个双		yi go song	yi2 ge4 shuang1	赣			30		
一个名		yi go miang	yi2 ge4 ming2	赣			76		
一个响		yi go xiong	yi2 ge4 xiang3	赣			21		
一个四十		yi go su set	yi2 ge4 si4 shi2	赣			11		
一个四十		yi go su si	yi2 ge4 si4 shi2	赣			11		
一个四十		yi go su xi	yi2 ge4 si4 shi2	赣			11		
一个四十多岁		yi go su set do xi	yi2 ge4 si4 shi2 duo1 sui4	赣			19		
一个四十多岁		yi go su si do xi	yi2 ge4 si4 shi2 duo1 sui4	赣			19		
一个四十多岁		yi go su xi do xi	yi2 ge4 si4 shi2 duo1 sui4	赣			19		
一个四品		yi go su pin	yi2 ge4 si4 pin3	赣			6		
一个团		yi go ton	yi2 ge4 tuan2	赣			89		
一个圈		yi go qon	yi2 ge4 quan1	赣			29		
一个多		yi go do	yi2 ge4 duo1	赣			378		
一个多元		yi go do yon	yi2 ge4 duo1 yuan2	赣			8		
一个多月		yi go do nyue	yi2 ge4 duo1 yue4	赣			406		
一个天		yi go tien	yi2 ge4 tian1	赣			93		
一个头		yi go teu	yi2 ge4 tou2	赣			70		
一个套		yi go tau	yi2 ge4 tao4	赣			14		
一个家		yi go ga	yi2 ge4 jia1	赣			94		
一个巴掌拍不响		yi go ba jiong pa bei xiong	yi1 ge4 ba1 zhang3 pai1 bu4 xiang3	赣			9		
一个帖		yi go tie	yi2 ge4 tie1	赣			8		
一个床		yi go cong	yi2 ge4 chuang2	赣			9		
一个打		yi go da	yi2 ge4 da3	赣			86		
一个排		yi go pai	yi2 ge4 pai2	赣			42		
一个支		yi go zi	yi2 ge4 zhi1	赣			24		
一个整		yi go zen	yi2 ge4 zheng3	赣			13		
一个月		yi go nyue	yi2 ge4 yue4	赣			1811		
一个样		yi go yong	yi2 ge4 yang4	赣			62		
一个点		yi go dien	yi2 ge4 dian3	赣			77		
一个班		yi go ban	yi2 ge4 ban1	赣			84		
一个碗		yi go won	yi2 ge4 wan3	赣			17		
一个第一次		yi go ti yi cu	yi2 ge4 di4 yi1 ci4	赣			16		
一个系列		yi go xi lie	yi2 ge4 xi4 lie4	赣			14		
一个纸		yi go zi	yi2 ge4 zhi3	赣			36		
一个组		yi go zu	yi2 ge4 zu3	赣			18		
一个肚子		yi go du zu	yi2 ge4 du3 zi5	赣			6		
一个萝卜一个坑		yi go lo bu yi go kang	yi1 ge4 luo2 bo5 yi1 ge4 keng1	赣			8		
一个角		yi go go	yi2 ge4 jiao3	赣			13		
