本词	国际音标	方言拼音	汉语拼音	词汇属性	对应官话词	官话拼音	词频	同义词	新旧标记
俱		jyu	ju4	赣			30000		
俳		pai	pai2	赣			120000		
俵		bieu	biao4	赣			120000		
俶		xu	chu4	赣			120000		
俸		feng	feng4	赣			120000		
俺		ngan	an3	赣			30000		
俾		bi	bi3	赣			120000		
倌		gon	guan1	赣			2400		
倌		guon	guan1	赣			12000		
倌		kuon	guan1	赣			3000		
倌		qon	guan1	赣			2000		
倍		pi	bei4	赣			120000		
倏		xyu	shu1	赣			120000		
倒		dau	dao4	赣			120000		
倓		tan	tan2	赣			120000		
倔		jyue	jue2	赣			30000		
倘		tong	tang3	赣			30000		
候		heu	hou4	赣			31521		
倚		qi	yi3	赣			30000		
倜		ti	ti4	赣			120000		
倞		jin	jing4	赣			30000		
借		jia	jie4	赣			120000		
倡		qiong	chang4	赣			120000		
倡		tong	chang4	赣			120000		
倥		kung	kong1	赣			120000		
倦		jon	juan4	赣			30000		
倨		jyu	ju4	赣			30000		
倩		jien	qian4	赣			3000		
倩		lien	qian4	赣			2000		
倩		tien	qian4	赣			12000		
倩		yen	qian4	赣			2400		
倪		e	ni2	赣			30000		
倬		zo	zhuo1	赣			120000		
倭		do	wo1	赣			2000		
倭		fo	wo1	赣			2400		
倭		to	wo1	赣			12000		
倭		wei	wo1	赣			3000		
债		cai	zhai4	赣			120000		
债		zai	zhai4	赣			120000		
值		di	zhi2	赣			30000		
值		zi	zhi2	赣			120000		
倾		qin	qing1	赣			120000		
偃		yen	yan3	赣			30000		
假		ga	jia3	赣			30000		
偈		jie	ji4	赣			30000		
偈		li	ji4	赣			7500		
偈		si	ji4	赣			5000		
偈		zi	ji4	赣			6000		
偎		wei	wei1	赣			30000		
偏		pien	pian1	赣			120000		
偕		gai	xie2	赣			30000		
偕		koi	xie2	赣			7500		
做		zu	zuo4	赣			50331		
停		tin	ting2	赣			30000		
健		qien	jian4	赣			30000		
偬		zeng	zong3	赣			120000		
偲		cai	cai1	赣			6000		
偲		si	cai1	赣			7500		
偲		su	cai1	赣			30000		
偶		ngieu	ou3	赣			30000		
偷		teu	tou1	赣			120000		
偻		leu	lou2	赣			30000		
偻		lyu	lou2	赣			7500		
偾		fen	fen4	赣			120000		
偿		qiong	chang2	赣			60000		
偿		xiong	chang2	赣			30000		
傀		kui	gui1	赣			30000		
傅		fu	fu4	赣			120000		
傍		pong	bang4	赣			30000		
傥		tong	tang3	赣			120000		
傧		bin	bin1	赣			120000		
储		cu	chu3	赣			30000		
储		qyu	chu3	赣			120000		
傩		lo	nuo2	赣			120000		
傩		na	nuo2	赣			30000		
催		cei	cui1	赣			30000		
傲		ngau	ao4	赣			30000		
傻		sa	sha3	赣			120000		
傻		sen	sha3	赣			30000		
僇		liu	lu4	赣			30000		
僇		lu	lu4	赣			7500		
像		xiong	xiang4	赣			120000		
僖		xi	xi1	赣			120000		
僚		lieu	liao2	赣			30000		
僦		jiu	jiu4	赣			120000		
僧		sen	seng1	赣			30000		
僬		jieu	jiao1	赣			120000		
僭		jien	jian4	赣			120000		
僮		teng	tong2	赣			30000		
僰		ji	bo2	赣			7500		
僰		pu	bo2	赣			5000		
僰		si	bo2	赣			30000		
僰		zi	bo2	赣			6000		
僵		jiung	jiang1	赣			30000		
僻		pi	pi4	赣			120000		
儆		jin	jing3	赣			30000		
儆		qin	jing3	赣			7500		
儇		xon	xuan1	赣			120000		
儋		dan	dan1	赣			120000		
儒		lu	ru2	赣			120000		
儡		lei	lei3	赣			30000		
儿		e	er2	赣			120000		
儿		ji	er2	赣			30000		
兀		bo	wu4	赣			3000		
兀		tu	wu4	赣			12000		
兀		wai	wu4	赣			2000		
兀		zu	wu4	赣			2400		
允		yun	yun3	赣			30000		
元		nien	yuan2	赣			30000		
元		yon	yuan2	赣			30000		
兄		xiang	xiong1	赣			120000		
充		qiung	chong1	赣			120000		
兆		zeu	zhao4	赣			120000		
先		xien	xian1	赣			30000		
光		guong	guang1	赣			30000		
克		kie	ke4	赣			30000		
免		mien	mian3	赣			120000		
兑		dei	dui4	赣			30000		
兔		tu	tu4	赣			120000		
兕		bi	si4	赣			120000		
兕		ji	si4	赣			24000		
兕		si	si4	赣			30000		
兕		zi	si4	赣			20000		
兖		yen	yan3	赣			12000		
党		dong	dang3	赣			120000		
兜		deu	dou1	赣			30000		
兢		jin	jing1	赣			30000		
入		lu	ru4	赣			120000		
全		qon	quan2	赣			120000		
全		ton	quan2	赣			30000		
八		bai	ba1	赣			120000		
公		gung	gong1	赣			45604		
六		liu	liu4	赣			30000		
兮		wa	xi1	赣			3000		
兮		xie	xi1	赣			12000		
兰		lan	lan2	赣			30000		
共		kung	gong4	赣			30000		
关		guan	guan1	赣			32105		
关		kuan	guan1	赣			32105		
兴		xin	xing1	赣			120000		
兵		bin	bing1	赣			120000		
其		gi	qi2	赣			14264		
其		gie	qi2	赣			17830		
其		ji	qi2	赣			11887		
其		qi	qi2	赣			71322		
具		jyu	ju4	赣			30000		
典		dien	dian3	赣			30000		
兹		zu	zi1	赣			120000		
养		yong	yang3	赣			30000		
兼		jien	jian1	赣			30000		
兽		seu	shou4	赣			120000		
冀		yi	ji4	赣			30000		
内		nyu	nei4	赣			120000		
冇		mau	mao3	赣			90000		
冈		gong	gang1	赣			30000		
冉		len	ran3	赣			120000		
册		ca	ce4	赣			120000		
再		zoi	zai4	赣			55507		
冒		mau	mao4	赣			120000		
冕		mien	mian3	赣			120000		
冗		leng	rong3	赣			30000		
写		xia	xie3	赣			30000		
军		jyun	jun1	赣			30000		
农		leng	nong2	赣			120000		
冠		guon	guan1	赣			30000		
冢		zong	zhong3	赣			120000		
冤		yuon	yuan1	赣			30000		
冥		miang	ming2	赣			30000		
冥		min	ming2	赣			120000		
冬		deng	dong1	赣			30000		
冯		feng	feng2	赣			120000		
冰		bin	bing1	赣			30000		
冱		fu	hu4	赣			30000		
冲		qiung	chong1	赣			120000		
决		go	jue2	赣			120000		
况		kuong	kuang4	赣			32833		
冶		ya	ye3	赣			30000		
冷		lang	leng3	赣			30000		
冻		deng	dong4	赣			30000		
冽		lie	lie4	赣			30000		
净		qin	jing4	赣			120000		
凄		qi	qi1	赣			30000		
准		jyun	zhun3	赣			120000		
凇		seng	song1	赣			120000		
凉		liong	liang2	赣			60000		
凋		dieu	diao1	赣			30000		
凌		len	ling2	赣			7500		
凌		lin	ling2	赣			30000		
减		gan	jian3	赣			30000		
减		gang	jian3	赣			120000		
凑		ceu	cou4	赣			30000		
凛		lin	lin3	赣			30000		
凝		nin	ning2	赣			30000		
几		ji	ji3	赣			60000		
凡		fan	fan2	赣			120000		
凤		feng	feng4	赣			120000		
凫		fu	fu2	赣			120000		
凫		pau	fu2	赣			30000		
凭		be	ping2	赣			30000		
凭		pin	ping2	赣			30000		
凯		koi	kai3	赣			30000		
凰		fong	huang2	赣			30000		
凳		den	deng4	赣			30000		
凶		xiung	xiong1	赣			120000		
凸		tu	tu1	赣			30000		
凹		au	ao1	赣			30000		
凹		ngau	ao1	赣			30000		
出		qyu	chu1	赣			120000		
出		tu	chu1	赣			120000		
击		ji	ji1	赣			30000		
函		hon	han2	赣			30000		
凿		zau	zao2	赣			120000		
刀		dau	dao1	赣			30000		
刁		dieu	diao1	赣			30000		
刃		len	ren4	赣			30000		
分		fen	fen1	赣			200000		
切		coi	qie4	赣			7500		
切		qie	qie4	赣			30000		
刈		ngoi	yi4	赣			30000		
刊		kon	kan1	赣			30000		
刍		qyu	chu2	赣			120000		
刎		wen	wen3	赣			120000		
刑		xin	xing2	赣			30000		
划		fa	hua4	赣			30000		
刖		bo	yue4	赣			3000		
刖		tu	yue4	赣			12000		
刖		wai	yue4	赣			2000		
刖		zu	yue4	赣			2400		
列		lie	lie4	赣			120000		
刘		liu	liu2	赣			30000		
则		ze	ze2	赣			32160		
刚		gong	gang1	赣			30000		
创		cong	chuang4	赣			120000		
创		tong	chuang4	赣			120000		
初		cu	chu1	赣			30000		
初		qyu	chu1	赣			120000		
删		san	shan1	赣			30000		
删		son	shan1	赣			120000		
判		pon	pan4	赣			120000		
刨		pau	pao2	赣			30000		
利		li	li4	赣			30000		
别		pie	bie2	赣			30000		
别		pien	bie2	赣			7500		
刭		bin	jing3	赣			3000		
刭		lang	jing3	赣			2000		
刭		tiang	jing3	赣			2400		
刭		tin	jing3	赣			12000		
刮		guai	gua1	赣			30000		
到		dau	dao4	赣			205341		
刳		ku	ku1	赣			3000		
刳		kua	ku1	赣			12000		
制		zi	zhi4	赣			120000		
刷		soi	shua1	赣			120000		
券		qyuon	quan4	赣			30000		
刹		sai	sha1	赣			120000		
刺		cu	ci4	赣			30000		
刺		le	ci4	赣			7500		
刻		kie	ke4	赣			30000		
刽		kuai	gui4	赣			30000		
刿		wei	gui4	赣			12000		
刿		xi	gui4	赣			3000		
刿		xyu	gui4	赣			2400		
刿		zyui	gui4	赣			2000		
剀		coi	kai3	赣			3000		
剀		loi	kai3	赣			2000		
剀		toi	kai3	赣			12000		
剀		zoi	kai3	赣			2400		
剂		ji	ji4	赣			120000		
剃		ti	ti4	赣			30000		
剅		deu	lou2	赣			30000		
削		xieu	xue1	赣			30000		
剌		cu	la2	赣			30000		
前		qien	qian2	赣			62779		
剐		gua	gua3	赣			30000		
剑		jien	jian4	赣			30000		
剔		ti	ti1	赣			30000		
剖		peu	pou1	赣			120000		
剜		wan	wan1	赣			30000		
剞		gui	ji1	赣			3000		
剞		kui	ji1	赣			12000		
剟		co	duo1	赣			3000		
剟		me	duo1	赣			2400		
剟		pai	duo1	赣			12000		
剟		woi	duo1	赣			2000		
剡		yen	shan4	赣			120000		
剥		bo	bo1	赣			30000		
剧		jyu	ju4	赣			30000		
剩		sen	sheng4	赣			120000		
剩		yang	sheng4	赣			30000		
剪		jien	jian3	赣			30000		
剪		kan	jian3	赣			7500		
副		fu	fu4	赣			120000		
割		goi	ge1	赣			30000		
剽		pieu	piao1	赣			30000		
剿		jieu	jiao3	赣			30000		
劁		mieu	qiao1	赣			2000		
劁		qieu	qiao1	赣			12000		
劁		yeu	qiao1	赣			2400		
劁		zeu	qiao1	赣			3000		
劂		gai	jue2	赣			12000		
劈		pia	pi1	赣			30000		
劐		fo	huo1	赣			30000		
劓		bi	yi4	赣			30000		
劓		li	yi4	赣			6000		
劓		qi	yi4	赣			5000		
劓		zi	yi4	赣			7500		
力		li	li4	赣			30000		
劝		qyuon	quan4	赣			30000		
办		pan	ban4	赣			30000		
功		gung	gong1	赣			30000		
加		ga	jia1	赣			30000		
务		wu	wu4	赣			120000		
劢		mai	mai4	赣			30000		
劣		lie	lie4	赣			30000		
动		teng	dong4	赣			30000		
助		jyu	zhu4	赣			30000		
助		tu	zhu4	赣			120000		
努		lu	nu3	赣			120000		
劫		jie	jie2	赣			30000		
劬		jyu	qu2	赣			30000		
劭		zeu	shao4	赣			120000		
励		li	li4	赣			30000		
劲		jin	jin4	赣			30000		
劳		lau	lao2	赣			30000		
劾		coi	he2	赣			12000		
劾		fo	he2	赣			2000		
劾		toi	he2	赣			3000		
劾		zoi	he2	赣			2400		
势		si	shi4	赣			120000		
勃		bo	bo2	赣			30000		
勇		yiung	yong3	赣			30000		
勉		mien	mian3	赣			30000		
勋		xun	xun1	赣			30000		
勍		jiang	qing2	赣			3000		
勍		qin	qing2	赣			12000		
勒		lei	lei1	赣			30000		
勒		tia	lei1	赣			7500		
勘		kon	kan1	赣			120000		
勚		li	yi4	赣			3000		
